获奖 2015 许鞍华  892977     黄金时代        
获奖 2014 王家卫  892953     一代宗师        
获奖 2013 梁乐民  1874414    寒战              
获奖 2013 陆剑青  1004058    寒战              
获奖 2012 许鞍华  892977     桃姐              
获奖 2011 徐克     892903     狄仁杰之通天帝国
获奖 2010 陈德森  892810     十月围城        
获奖 2009 许鞍华  892977     天水围的日与夜
获奖 2008 陈可辛  892817     投名状           
获奖 2007 谭家明  899071     父子              
获奖 2006 杜琪峰  892840     黑社会           
提名 2015 陈果     892812     那夜凌晨，我坐上了旺角开往大埔的红van
提名 2015 陈可辛  892817     亲爱的           
提名 2015 林超贤  892901     魔警              
提名 2015 庄文强  893109     窃听风云3       
提名 2015 麦兆辉  892924     窃听风云3       
提名 2014 杜琪峰  892840     毒战              
提名 2014 陈木胜  892818     扫毒              
提名 2014 郭子健  893225     救火英雄        
提名 2014 林超贤  892901     激战              
提名 2013 郑保瑞  1190864    车手              
提名 2013 彭浩翔  892929     春娇与志明     
提名 2013 罗志良  892919     消失的子弹     
提名 2013 庄文强  893109     听风者           
提名 2013 麦兆辉  892924     听风者           
提名 2012 杜琪峰  892840     夺命金           
提名 2012 徐克     892903     龙门飞甲        
提名 2012 庄文强  893109     窃听风云2       
提名 2012 麦兆辉  892924     窃听风云2       
提名 2012 姜文     892871     让子弹飞        
提名 2011 郭子健  893225     打擂台           
提名 2011 郑思杰  893169     打擂台           
提名 2011 苏照彬  893186     剑雨              
提名 2011 叶伟信  892990     叶问2：宗师传奇
提名 2011 林超贤  892901     线人              
提名 2010 麦兆辉  892924     窃听风云        
提名 2010 庄文强  893109     窃听风云        
提名 2010 吴宇森  892963     赤壁（下）     
提名 2010 尔冬升  892842     新宿事件        
提名 2010 许鞍华  892977     天水围的夜与雾
提名 2009 陈木胜  892818     保持通话        
提名 2009 杜琪峰  892840     文雀              
提名 2009 吴宇森  892963     赤壁（上）     
提名 2009 叶伟信  892990     叶问              
提名 2008 游乃海  893142     跟踪              
提名 2008 尔冬升  892842     门徒              
提名 2008 韦家辉  892841     神探              
提名 2008 杜琪峰  892840     神探              
提名 2008 许鞍华  892977     姨妈的后现代生活
提名 2007 杜琪峰  892840     放·逐            
提名 2007 杜琪峰  892840     黑社会以和为贵
提名 2007 张艺谋  893000     满城尽带黄金甲
提名 2007 张之亮  893002     墨攻              
提名 2006 徐克     892903     七剑              
提名 2006 尔冬升  892842     早熟              
提名 2006 麦兆辉  892924     头文字D          
提名 2006 刘伟强  892815     头文字D          
提名 2006 陈可辛  892817     如果·爱         
获奖 2005 尔冬升  892842     旺角黑夜        
获奖 2004 杜琪峰  892840     PTU                 
获奖 2003 麦兆辉  892924     无间道           
获奖 2003 刘伟强  892815     无间道           
获奖 2002 周星驰  893017     少林足球        
获奖 2001 李安     892883     卧虎藏龙        
获奖 2000 杜琪峰  892840     枪火              
获奖 1999 林超贤  892901     野兽刑警        
获奖 1999 陈嘉上  892814     野兽刑警        
获奖 1998 陈果     892812     香港制造        
获奖 1997 陈可辛  892817     甜蜜蜜           
获奖 1996 许鞍华  892977     女人，四十     
提名 2005 王家卫  892953     2046                
提名 2005 杜琪峰  892840     大事件           
提名 2005 周星驰  893017     功夫              
提名 2005 陈木胜  892818     新警察故事     
提名 2004 韦家辉  892841     大块头有大智慧
提名 2004 杜琪峰  892840     大块头有大智慧
提名 2004 尔冬升  892842     忘不了           
提名 2004 陈木胜  892818     双雄              
提名 2004 麦兆辉  892924     无间道Ⅱ        
提名 2004 刘伟强  892815     无间道Ⅱ        
提名 2003 陈果     892812     香港有个好莱坞
提名 2003 陈可辛  892817     三更              
提名 2003 罗志良  892919     异度空间        
提名 2003 张艺谋  893000     英雄              
提名 2002 许鞍华  892977     男人四十        
提名 2002 关锦鹏  892852     蓝宇              
提名 2002 韦家辉  892841     瘦身男女        
提名 2002 杜琪峰  892840     瘦身男女        
提名 2002 许鞍华  892977     幽灵人间        
提名 2001 陈果     892812     榴梿飘飘        
提名 2001 王家卫  892953     花样年华        
提名 2001 叶伟信  892990     朱丽叶与梁山伯
提名 2001 韦家辉  892841     孤男寡女        
提名 2001 杜琪峰  892840     孤男寡女        
提名 2000 张艾嘉  892993     心动              
提名 2000 许鞍华  892977     千言万语        
提名 2000 林岭东  892902     目露凶光        
提名 2000 杜琪峰  892840     暗战              
提名 1999 张婉婷  892997     玻璃之城        
提名 1999 陈果     892812     去年烟花特别多
提名 1999 游乃海  893142     暗花              
提名 1999 关锦鹏  892852     愈快乐愈堕落  
提名 1998 杜琪峰  892840     十万火急        
提名 1998 张婉婷  892997     宋家皇朝        
提名 1998 林岭东  892902     高度戒备        
提名 1998 王家卫  892953     春光乍泄        
提名 1997 陈木胜  892818     冲锋队之怒火街头
提名 1997 邝志良  1263987    尔冬升           
提名 1997 赵崇基  893005     三个受伤的警察
提名 1997 舒琪     893275     虎度门           
提名 1996 尔冬升  892842     烈火战车        
提名 1996 王家卫  892953     堕落天使        
提名 1996 严浩     892980     天国逆子        
提名 1996 杜琪峰  892840     无味神探        
获奖 1995 王家卫  892953     重庆森林        
获奖 1994 尔冬升  892842     新不了情        
获奖 1993 张之亮  893002     笼民              
获奖 1992 徐克     892903     黄飞鸿           
获奖 1991 王家卫  892953     阿飞正传        
获奖 1990 吴宇森  892963     喋血双雄        
获奖 1989 关锦鹏  892852     胭脂扣           
获奖 1988 林岭东  892902     龙虎风云        
获奖 1987 方育平  1016393    美国心           
获奖 1986 张婉婷  892997     非法移民        
提名 1995 王家卫  892953     东邪西毒        
提名 1995 徐克     892903     梁祝              
提名 1995 陈可辛  892817     金枝玉叶        
提名 1995 陈嘉上  892814     飞虎雄心        
提名 1994 李志毅  905989     风尘三侠        
提名 1994 陈可辛  892817     风尘三侠        
提名 1994 黄志强  893442     重案组           
提名 1994 查传谊  893515     溶尸奇案        
提名 1993 徐克     892903     黄飞鸿之二：男儿当自强
提名 1993 刘镇伟  892909     九二黑玫瑰对黑玫瑰
提名 1993 陈嘉上  892814     武状元苏乞儿  
提名 1993 关锦鹏  892852     阮玲玉           
提名 1992 吴宇森  892963     纵横四海        
提名 1992 陈嘉上  892814     逃学威龙        
提名 1992 潘文杰  893049     跛豪              
提名 1992 刘国昌  893068     五亿探长雷洛传I雷老虎
提名 1991 吴宇森  892963     喋血街头        
提名 1991 许鞍华  892977     客途秋恨        
提名 1991 罗卓瑶  892920     爱在他乡的季节
提名 1991 严浩     892980     滚滚红尘        
提名 1990 杜琪峰  892840     阿郎的故事     
提名 1990 张之亮  893002     飞越黄昏        
提名 1990 陈友     893050     不脱袜的人     
提名 1990 张婉婷  892997     八两金           
提名 1989 王家卫  892953     旺角卡门        
提名 1989 张之亮  893002     中国最后一个太监
提名 1989 刘国昌  893068     童党              
提名 1989 罗启锐  893096     七小福           
提名 1988 林岭东  892902     监狱风云        
提名 1988 程小东  892827     倩女幽魂(87版) 
提名 1988 张婉婷  892997     秋天的童话     
提名 1988 谭家明  899071     最后胜利        
提名 1988 许鞍华  892977     书剑恩仇录     
提名 1987 吴宇森  892963     英雄本色        
提名 1987 李翰祥  893055     火龙              
提名 1987 冼杞然  893210     兄弟              
提名 1987 尔冬升  892842     癫佬正传        
提名 1987 关锦鹏  892852     地下情           
提名 1986 关锦鹏  892852     女人心           
提名 1986 洪金宝  892825     龙的心           
提名 1986 刘观伟  893595     僵尸先生        
提名 1986 成龙     892908     警察故事        
获奖 1985 严浩     892980     似水流年        
获奖 1984 方育平  1016393    半边人           
获奖 1983 许鞍华  892977     投奔怒海        
获奖 1982 方育平  1016393    父子情           
提名 1985 徐克     892903     上海之夜        
提名 1985 麦当雄  893404     省港旗兵        
提名 1985 梁普智  892898     等待黎明        
提名 1985 李修贤  892894     公仆              
提名 1984 午马     893386     人吓人           
提名 1984 李翰祥  893055     垂帘听政        
提名 1984 泰迪罗宾 893301     我爱夜来香     
提名 1984 黄志强  893442     打擂台           
提名 1983 黎大炜  892881     靓妹仔           
提名 1983 谭家明  899071     烈火青春        
提名 1983 蔡继光  893290     柠檬可乐        
提名 1983 洪金宝  892825     败家仔           
