获奖 2015 王菀之  1418467    金鸡SSS           
获奖 2014 惠英红  924890     僵尸              
获奖 2013 陈静     1251538    低俗喜剧        
获奖 2012 苏杏璇  954988     夺命金           
获奖 2011 邵音音  1161514    打擂台           
获奖 2010 叶璇     1202379    意外              
获奖 2009 陈丽云  1547439    天水围的日与夜
获奖 2008 邵音音  1161514    野·良犬         
获奖 2007 周迅     923645     夜宴              
获奖 2006 毛舜筠  925481     早熟              
提名 2015 惠英红  924890     那夜凌晨，我坐上了旺角开往大埔的红van
提名 2015 郝蕾     1177689    黄金时代        
提名 2015 薛凯琪  1191204    闺蜜              
提名 2015 鲍起静  934143     暴疯语           
提名 2014 杜鹃     1838134    中国合伙人     
提名 2014 刘嘉玲  924250     狄仁杰之神都龙王
提名 2014 罗兰     948749     扫毒              
提名 2014 李馨巧  1877935    激战              
提名 2013 邵音音  1161514    低俗喜剧        
提名 2013 江一燕  1251642    消失的子弹     
提名 2013 金燕玲  985618     逆战              
提名 2013 范晓萱  1172656    听风者           
提名 2012 惠英红  924890     武侠              
提名 2012 刘嘉玲  924250     让子弹飞        
提名 2012 桂纶镁  953381     龙门飞甲        
提名 2012 秦海璐  956797     桃姐              
提名 2011 朱咪咪  1016242    月满轩尼诗     
提名 2011 张静初  1149183    全城戒备        
提名 2011 余安安  938503     飞砂风中转     
提名 2011 鲍起静  934143     月满轩尼诗     
提名 2010 李宇春  1285108    十月围城        
提名 2010 范冰冰  929639     十月围城        
提名 2010 赵薇     923349     赤壁（下）     
提名 2010 何韵诗  934066     游龙戏凤        
提名 2009 苗可秀  1073490    我们这一家     
提名 2009 黄婉伶  1098378    性工作者2：我不卖身，我卖子宫
提名 2009 孙俪     1202817    画皮              
提名 2009 赵薇     923349     赤壁（上）     
提名 2008 莫文蔚  924644     老港正传        
提名 2008 邵美琪  939199     跟踪              
提名 2008 袁咏仪  999881     门徒              
提名 2008 赵薇     923349     姨妈的后现代生活
提名 2007 林熙蕾  952320     父子              
提名 2007 梁洛施  1157197    妄想              
提名 2007 余安安  938503     我要成名        
提名 2007 田蕊妮  939705     疯狂主妇        
提名 2006 林嘉欣  924270     阿嫂              
提名 2006 苏岩     1248646    长恨歌           
提名 2006 张静初  1149183    七剑              
提名 2006 邵美琪  939199     黑社会           
获奖 2005 白灵     914593     三更2             
获奖 2004 何超仪  954502     豪情              
获奖 2003 刘若英  904631     双瞳              
获奖 2002 林嘉欣  924270     男人四十        
获奖 2001 郑佩佩  950354     卧虎藏龙        
获奖 2000 吴家丽  962219     流星语           
获奖 1999 舒淇     924551     古惑仔情义篇之洪兴十三妹
