获奖 2015 曾江     910028     窃听风云3       
获奖 2014 张晋     1258202    一代宗师        
获奖 2013 郑中基  939702     低俗喜剧        
获奖 2012 卢海鹏  925487     夺命金           
获奖 2011 泰迪罗宾 893301     打擂台           
获奖 2010 谢霆锋  903079     十月围城        
获奖 2009 廖启智  924271     证人              
获奖 2008 刘德华  924681     门徒              
获奖 2007 吴赬滔  1250042    父子              
获奖 2006 黄秋生  899554     头文字D          
提名 2015 王宝强  939536     一个人的武林  
提名 2015 林雪     924892     那夜凌晨，我坐上了旺角开往大埔的红van
提名 2015 吴孟达  968220     人间·小团圆   
提名 2015 方中信  936656     窃听风云3       
提名 2014 佟大为  944769     中国合伙人     
提名 2014 黄渤     1249885    西游降魔篇     
提名 2014 彭于晏  1257087    激战              
提名 2014 陈友     893050     僵尸              
提名 2013 廖启智  924271     消失的子弹     
提名 2013 林家栋  924891     寒战              
提名 2013 杜汶泽  924886     华丽之后        
提名 2013 万梓良  997102     悬赏              
提名 2012 王羽     952066     武侠              
提名 2012 秦沛     1078862    桃姐              
提名 2012 谢霆锋  903079     新少林寺        
提名 2012 曾江     910028     窃听风云2       
提名 2011 廖启智  924271     线人              
提名 2011 王学圻  941428     剑雨              
提名 2011 梁家辉  893545     狄仁杰之通天帝国
提名 2011 邓超     1256584    狄仁杰之通天帝国
提名 2010 方中信  936656     窃听风云        
提名 2010 梁家辉  893545     十月围城        
提名 2010 冯淬帆  893581     意外              
提名 2010 张震     925071     赤壁（下）     
提名 2009 张丰毅  987354     赤壁（上）     
提名 2009 周星驰  893017     长江7号          
提名 2009 樊少皇  996604     叶问              
提名 2009 林家栋  924891     叶问              
提名 2008 郑中基  939702     老港正传        
提名 2008 张家辉  929030     出埃及记        
提名 2008 古天乐  923219     门徒              
提名 2008 周润发  893535     姨妈的后现代生活
提名 2007 任达华  916259     黑社会以和为贵
提名 2007 张家辉  929030     黑社会以和为贵
提名 2007 周杰伦  943799     满城尽带黄金甲
提名 2007 刘烨     917288     满城尽带黄金甲
提名 2006 胡军     942020     长恨歌           
提名 2006 方中信  936656     千杯不醉        
提名 2006 王天林  1032673    黑社会           
提名 2006 廖启智  924271     杀破狼           
获奖 2005 元华     931619     功夫              
获奖 2004 梁家辉  893545     大丈夫           
获奖 2003 黄秋生  899554     无间道           
获奖 2002 黄一飞  940915     少林足球        
获奖 2001 吴镇宇  893566     公元2000          
获奖 2000 狄龙     938676     流星语           
获奖 1999 谭耀文  948753     野兽刑警        
获奖 1998 姜文     892871     宋家皇朝        
获奖 1997 曾志伟  893302     甜蜜蜜           
获奖 1996 罗家英  927399     女人，四十     
提名 2005 陈国坤  964646     功夫              
提名 2005 詹瑞文  929025     绝世好宾        
提名 2005 吴彦祖  924666     新警察故事     
提名 2005 梁家辉  893545     三更2             
提名 2004 张兆辉  929031     大块头有大智慧
提名 2004 廖启智  924271     无间道Ⅱ        
提名 2004 杜汶泽  924886     无间道Ⅱ        
提名 2004 郑中基  939702     行运超人        
提名 2003 黄秋生  899554     想飞              
提名 2003 杜汶泽  924886     无间道           
提名 2003 曾志伟  893302     无间道           
提名 2003 黄秋生  899554     一碌蔗           
提名 2002 林家栋  924891     爱君如梦        
提名 2002 李炜尚  952680     等候董建华发落
提名 2002 任达华  916259     慌心假期        
提名 2002 谭耀文  948753     野兽之瞳        
提名 2001 张震     925071     卧虎藏龙        
提名 2001 陈奕迅  927909     薰衣草           
提名 2001 任达华  916259     朱丽叶与梁山伯
提名 2001 张耀扬  942017     江湖告急        
提名 2000 谢君豪  959026     千言万语        
提名 2000 林雪     924892     枪火              
提名 2000 张醒超  995834     细路祥           
提名 2000 许绍雄  925482     暗战              
提名 1999 曾志伟  893302     愈快乐愈堕落  
提名 1999 方中信  936656     每天爱您8小时 
提名 1999 张嘉辉  1275303    赌侠1999          
提名 1999 李灿森  927912     去年烟花特别多
提名 1998 张震     925071     春光乍泄        
提名 1998 曾志伟  893302     热血最强        
提名 1998 潘灿良  1136543    南海十三郎     
提名 1998 罗家英  927399     我爱厨房        
提名 1997 陈小春  923220     冲锋队之怒火街头
提名 1997 林晓峰  958815     三个受伤的警察
提名 1997 黄秋生  899554     古惑仔三之只手遮天
提名 1997 任达华  916259     金榜题名        
提名 1996 钱嘉乐  908079     烈火战车        
提名 1996 陈小春  923220     救世神棍        
提名 1996 葛民辉  893564     花月佳期        
提名 1996 黄子华  968306     二月三十        
获奖 1995 陈小春  923220     晚九朝五        
获奖 1994 秦沛     1078862    新不了情        
获奖 1993 廖启智  924271     笼民              
获奖 1992 关海山  996603     五亿探长雷洛传I雷老虎
获奖 1991 吴孟达  968220     天若有情        
获奖 1990 梁朝伟  925068     杀手蝴蝶梦     
获奖 1989 张学友  924883     旺角卡门        
获奖 1988 梁朝伟  925068     人民英雄        
获奖 1987 秦沛     1078862    癫佬正传        
获奖 1986 孟海     1011109    皇家师姐        
提名 1995 陈小春  923220     金枝玉叶        
提名 1995 陈国邦  1007936    飞虎雄心        
提名 1995 葛民辉  893564     新同居时代     
提名 1995 罗家英  927399     国产凌凌漆     
提名 1994 黄秋生  899554     溶尸奇案        
提名 1994 郑丹瑞  893147     风尘三侠        
提名 1994 郑则仕  893423     重案组           
提名 1994 徐锦江  938500     水浒传之英雄本色
提名 1993 吴镇宇  893566     绝代双骄        
提名 1993 梁朝伟  925068     辣手神探        
提名 1993 黄秋生  899554     我爱扭纹柴     
提名 1993 甄子丹  893008     黄飞鸿之二：男儿当自强
提名 1992 吴孟达  968220     逃学威龙        
提名 1992 张学友  924883     黄飞鸿           
提名 1992 汤镇业  1032050    五虎将之决裂  
提名 1992 郑则仕  893423     跛豪              
提名 1992 郭富城  928694     九一神雕侠侣  
提名 1991 吴孟达  968220     赌圣              
提名 1991 张学友  924883     倩女幽魂II：人间道
提名 1991 张学友  924883     笑傲江湖        
提名 1991 刘洵     962025     笑傲江湖        
提名 1991 尔冬升  892842     川岛芳子        
提名 1990 朱江     1025355    喋血双雄        
提名 1990 成奎安  1004248    爱人同志        
提名 1990 黄坤玄  1042325    阿郎的故事     
提名 1989 午马     893386     中国最后一个太监
提名 1989 周星驰  893017     霹雳先锋        
提名 1989 曾志伟  893302     我爱太空人     
提名 1989 万梓良  997102     旺角卡门        
提名 1988 午马     893386     倩女幽魂(87版) 
提名 1988 张耀扬  942017     监狱风云        
提名 1988 何家驹  1016655    监狱风云        
提名 1988 徐克     892903     最后胜利        
提名 1988 黄斌     998862     人民英雄        
提名 1987 李子雄  954981     英雄本色        
提名 1987 午马     893386     执法先锋        
提名 1987 秦沛     1078862    刀马旦           
提名 1987 周润发  893535     地下情           
提名 1987 成奎安  1004248    皇家饭           
提名 1986 霍耀良  892868     再见七日情     
提名 1986 林正英  1027874    僵尸先生        
提名 1986 楼南光  1012682    僵尸先生        
获奖 1985 沈威     893623     省港旗兵        
提名 1985 楚原     892828     雪儿              
提名 1985 太保     991280     公仆              
提名 1985 陈友     893050     缘份              
