date	cppi	hold1	fix	hold2
0	100510	100510	100510	100510
1	101023.67	101023.67	101023.67	101023.67
2	101541.0413	101541.0413	101541.0413	101541.0413
3	102062.1454	102062.1454	102062.1454	102062.1454
4	102587.0143	102587.0143	102587.0143	102587.0143
5	103115.6801	103115.6801	103115.6801	103115.6801
6	103648.1752	103648.1752	103648.1752	103648.1752
7	104184.5323	104184.5323	104184.5323	104184.5323
8	104724.7846	104724.7846	104724.7846	104724.7846
9	105268.9653	105268.9653	105268.9653	105268.9653
10	105817.1081	105817.1081	105817.1081	105817.1081
11	106369.2469	106369.2469	106369.2469	106369.2469
12	106925.4161	106925.4161	106925.4161	106925.4161
13	107485.6501	107485.6501	107485.6501	107485.6501
14	108049.9839	108049.9839	108049.9839	108049.9839
15	108618.4526	108618.4526	108618.4526	108618.4526
16	109191.0919	109191.0919	109191.0919	109191.0919
17	109767.9375	109767.9375	109767.9375	109767.9375
18	110349.0257	110349.0257	110349.0257	110349.0257
19	110934.3929	110934.3929	110934.3929	110934.3929
20	111524.076	111524.076	111524.076	111524.076
21	112118.1122	112118.1122	112118.1122	112118.1122
22	112716.539	112716.539	112716.539	112716.539
23	113319.3943	113319.3943	113319.3943	113319.3943
24	113926.7162	113926.7162	113926.7162	113926.7162
25	114538.5434	114538.5434	114538.5434	114538.5434
26	115154.9147	115154.9147	115154.9147	115154.9147
27	115775.8695	115775.8695	115775.8695	115775.8695
28	116401.4474	116401.4474	116401.4474	116401.4474
29	117031.6883	117031.6883	117031.6883	117031.6883
30	117703.4584	117742.9027	117780.4744	117742.9027
31	118380.3941	118459.7394	118535.3211	118459.7394
32	119062.5405	119182.248	119296.2823	119182.248
33	119749.9432	119910.4784	120063.4123	119910.4784
34	120442.6479	120644.4811	120836.766	120644.4811
35	121140.701	121384.3072	121616.3989	121384.3072
36	121844.1492	122130.0078	122402.3667	122130.0078
37	122553.0398	122881.6351	123194.7261	122881.6351
38	123267.4202	123639.2413	123993.5338	123639.2413
39	123987.3386	124402.8792	124798.8473	124402.8792
40	124712.8435	125172.6022	125610.7248	125172.6022
41	125443.9836	125948.4641	126429.2246	125948.4641
42	126180.8085	126730.5191	127254.4059	126730.5191
43	126923.3679	127518.8222	128086.3284	127518.8222
44	127671.7122	128313.4286	128925.052	128313.4286
45	128425.8919	129114.3942	129770.6377	129114.3942
46	129185.9585	129921.7753	130623.1467	129921.7753
47	129951.9635	130735.6287	131482.6408	130735.6287
48	130723.9591	131556.0118	132349.1825	131556.0118
49	131501.9979	132382.9826	133222.8348	132382.9826
50	132286.1331	133216.5995	134103.6612	133216.5995
